epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2518,1.65836,4.37918,1.89154,0,0,0,0,1.62329,3.9,1.83859,0.000108906,0.000108906,0.000108906
2,37.6535,1.34867,4.14848,1.62596,0.01768,0.39879,0.09263,0.05027,1.41031,3.56846,1.74075,0.000217729,0.000217729,0.000217729
3,53.9458,1.32849,3.86711,1.60512,0.50863,0.09535,0.08206,0.0377,1.80991,3.57378,2.165,0.000324354,0.000324354,0.000324354
4,70.162,1.34759,3.5313,1.62093,0.40646,0.1873,0.1543,0.07404,1.55081,2.93948,1.89621,0.00032311,0.00032311,0.00032311
5,86.4648,1.3236,3.29936,1.63168,0.45359,0.17082,0.17243,0.08844,1.58243,2.99686,1.9235,0.000319813,0.000319813,0.000319813
6,103.619,1.25661,3.05923,1.55607,0.68016,0.16031,0.22042,0.12351,1.4284,2.726,1.75628,0.000316517,0.000316517,0.000316517
7,120.864,1.2557,2.87873,1.54517,0.53783,0.21242,0.24441,0.12886,1.50236,2.86297,1.82702,0.00031322,0.00031322,0.00031322
8,137.221,1.19865,2.73353,1.50859,0.53303,0.25618,0.28454,0.16564,1.48227,2.56144,1.88857,0.000309923,0.000309923,0.000309923
9,153.378,1.16855,2.54889,1.4739,0.69454,0.21459,0.27844,0.16567,1.47036,2.46373,1.82181,0.000306626,0.000306626,0.000306626
10,169.837,1.12262,2.43793,1.44536,0.51312,0.27054,0.2991,0.19489,1.5146,2.29031,1.86365,0.00030333,0.00030333,0.00030333
11,185.983,1.0948,2.29994,1.41192,0.67676,0.26152,0.30509,0.19127,1.58813,2.52311,1.941,0.000300033,0.000300033,0.000300033
12,202.521,1.08831,2.22542,1.40381,0.48976,0.32877,0.36125,0.22694,1.44078,2.39733,1.79003,0.000296736,0.000296736,0.000296736
13,220.122,1.06317,2.12661,1.38835,0.65085,0.2477,0.32659,0.21854,1.47427,2.34738,1.76872,0.00029344,0.00029344,0.00029344
14,237.059,1.01042,1.96884,1.33232,0.62703,0.31415,0.43328,0.28355,1.4796,2.10518,1.81834,0.000290143,0.000290143,0.000290143
15,253.215,0.99888,1.91613,1.338,0.49078,0.3905,0.43553,0.29712,1.49813,2.05029,1.79644,0.000286846,0.000286846,0.000286846
16,269.626,0.99732,1.86708,1.33643,0.45918,0.31765,0.35986,0.2375,1.50909,2.36713,1.84002,0.00028355,0.00028355,0.00028355
17,285.941,0.97238,1.81622,1.30411,0.64538,0.42258,0.45144,0.30891,1.41908,1.84184,1.77151,0.000280253,0.000280253,0.000280253
18,302.265,0.97106,1.76306,1.3013,0.63308,0.33289,0.42422,0.29375,1.46866,1.92277,1.8176,0.000276956,0.000276956,0.000276956
19,319.202,0.96264,1.71896,1.29208,0.54147,0.43787,0.46137,0.29787,1.46695,1.89937,1.8412,0.000273659,0.000273659,0.000273659
20,336.524,0.9447,1.6139,1.26957,0.58941,0.39773,0.48075,0.3426,1.37394,1.95811,1.73347,0.000270363,0.000270363,0.000270363
21,352.491,0.903,1.59583,1.24924,0.65701,0.45973,0.49786,0.35947,1.37353,1.80067,1.75924,0.000267066,0.000267066,0.000267066
22,368.572,0.89786,1.51817,1.2363,0.68777,0.3608,0.49086,0.34111,1.32867,1.73029,1.71084,0.000263769,0.000263769,0.000263769
23,384.704,0.86989,1.5234,1.22046,0.6202,0.47846,0.50884,0.35172,1.32719,1.72963,1.69143,0.000260473,0.000260473,0.000260473
24,400.618,0.86329,1.43976,1.2147,0.59496,0.46102,0.51457,0.33443,1.38002,1.85607,1.82677,0.000257176,0.000257176,0.000257176
25,416.684,0.84539,1.40938,1.20218,0.57792,0.49719,0.51225,0.38548,1.31071,1.76271,1.67976,0.000253879,0.000253879,0.000253879
26,432.992,0.8334,1.35361,1.19337,0.68892,0.41677,0.50938,0.35033,1.41341,1.76777,1.83693,0.000250583,0.000250583,0.000250583
27,449.923,0.82605,1.30253,1.18371,0.71854,0.48322,0.53345,0.38977,1.36324,1.73949,1.78663,0.000247286,0.000247286,0.000247286
28,466.135,0.81631,1.3229,1.18281,0.75976,0.40694,0.54137,0.38746,1.32006,1.72025,1.71443,0.000243989,0.000243989,0.000243989
29,482.039,0.8208,1.31579,1.17766,0.61564,0.43424,0.5151,0.37672,1.36344,1.83737,1.75786,0.000240692,0.000240692,0.000240692
30,497.976,0.78706,1.25126,1.16138,0.63188,0.47793,0.58492,0.39846,1.3429,1.56263,1.77031,0.000237396,0.000237396,0.000237396
